statement,true_label_text,nli_decision,nli_score,predicted_news_status_fc,retrieved_evidence_count,best_evidence_text_fc,best_evidence_source_fc
Annual flu vaccines reduce the risk of influenza by up to 60% in the overall population during seasons when most circulating flu viruses are well-matched to the flu vaccine.,REAL,NEUTRAL,0.9971694350242615,NEUTRAL (Wiki evidence not decisive),3,"Influenza vaccines, colloquially known as flu shots or the flu jab, are vaccines that protect against infection by influenza viruses.",Influenza vaccine
"The Earth's average surface temperature has risen by more than 1 degree Celsius since the pre-industrial period, primarily due to human-caused greenhouse gas emissions.",REAL,NEUTRAL,0.9945496916770935,NEUTRAL (Wiki evidence not decisive),3,Global surface temperature (GST) is the average temperature of Earth's surface.,Global surface temperature
Drinking bleach can cure COVID-19 and other viral infections.,FAKE,NEUTRAL,0.948171854019165,NEUTRAL (Wiki evidence not decisive),3,The physiological processes of drinking vary widely among other animals.,Drinking
The great wall of China is the only man-made structure visible from the moon with the naked eye.,FAKE,NEUTRAL,0.9038458466529846,NEUTRAL (Wiki evidence not decisive),3,"Today, the defensive system of the Great Wall is recognized as one of the most impressive architectural feats in history.",Great Wall of China
Elon Musk announced plans to build the first city on Mars by 2040.,UNCERTAIN_OR_SPECULATIVE,NEUTRAL,0.9584717750549316,NEUTRAL (Wiki evidence not decisive),3,"This, in addition to increasing tension with Trump and his administration, led to Musk formally announcing on May 28 that he would be departing from the Trump administration by the 130th day deadline as a special government employee expires.",Elon Musk
Taylor Swift won a total of 14 Grammy Awards throughout her career as of early 2024.,REAL,NEUTRAL,0.9917026162147522,NEUTRAL (Wiki evidence not decisive),3,"Swift signed to Big Machine Records in 2005, debuting as a country singer with the albums Taylor Swift (2006) and Fearless (2008).",Taylor Swift
Actor Tom Hanks was recently arrested for distributing fake medication.,FAKE,CONTRADICTION,0.9758434891700745,LIKELY FAKE (Contradicted by Wiki),3,"He made his Broadway debut in Nora Ephron's Lucky Guy (2013), earning a nomination for the Tony Award for Best Actor in a Play.",Tom Hanks
Volodymyr Zelenskyy addressed the United Nations General Assembly in September 2023.,REAL,CONTRADICTION,0.6019507646560669,"UNCERTAIN (NLI: CONTRADICTION, Score: 0.60)",3,"Currently in its 79th session, its powers, composition, functions, and procedures are set out in Chapter IV of the United Nations Charter.",United Nations General Assembly
Cristiano Ronaldo stated he will retire from professional football at the end of the current season.,UNCERTAIN_OR_SPECULATIVE,CONTRADICTION,0.8432965278625488,LIKELY FAKE (Contradicted by Wiki),3,"In 2015, Ronaldo was named the best Portuguese player of all time by the Portuguese Football Federation.",Cristiano Ronaldo
The COVID-19 vaccine contains microchips designed by Bill Gates to track the population.,FAKE,NEUTRAL,0.9683812260627747,NEUTRAL (Wiki evidence not decisive),3,"In January 2020, the disease spread worldwide, resulting in the COVID-19 pandemic.",COVID-19
